Department,Sentiment,Emotions,Summary
"Marketing, Sales",positive,"hesitant, good, fresh","20% off on retailer day, jeans look good"
Product and Quality Assurance,positive,"shame, bright, vivid, unique, nice","bright and vivid embroidery, unique design, slim cut flattering fit."
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, annoyance, regret","skirt design too long, not suitable for height and size"
"Marketing, Inventory Management",positive,"love, hesitant, perfect, fabulous, great","perfect find, fabulous color, great fit, can't wait for next event"
"Marketing, Product and Quality Assurance",positive,"love, excited, satisfied, relieved, confident","retro swimsuit, blogger amber fillerup-clark, size 6 ordered"
"Marketing, Product and Quality Assurance",positive,"love, on the fence, versatile, mix and match, statement","versatile sweater, best with plain white top and jeans."
"Marketing, Product and Quality Assurance",positive,"love, soft, cozy, pretty, classic","soft and cozy sweater, classic and classy, fits perfectly"
Product and Quality Assurance,positive,"comfortable, difficult","comfortable sweater, difficult zipper"
Product and Quality Assurance,positive,"love, well made, beautiful, effortless, unfortunate, fresh, comfortable","well-made sweater, runs large, fresh and comfortable style"
"Marketing, Inventory Management",positive,"love, lovely, comfortable, soft, nicely dressed","lovely details, comfortable and soft, sold out in my size"
Product and Quality Assurance,positive,"cute, comfortable, well made, flattering","cute, comfortable, well made, flattering for the stomach"
"Product and Quality Assurance, Inventory Management",negative,"adore, pondering, raved, tried, immediately, bummer","white shirt see-through, ordered green instead"
Product and Quality Assurance,positive,"relieved, cute, slight disappointment, perfect","cute skirt, slight disappointment in color, perfect fit"
Product and Quality Assurance,negative,"loved, flattering, larger, expected, sadly","skirt not flattering, larger waist, flared out, had to return"
Product and Quality Assurance,positive,"love, less stiff","denim with stretch, less stiff than traditional denim"
Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, confusion, regret",excess fabric and high elastic band made the dress unflattering
Product and Quality Assurance,negative,"love, happy, puzzled, disappointed","unlined wool coat, not recommended"
"Marketing, Product and Quality Assurance",positive,"drawn, wonderful, nicer, great, like","dress is great with leggings and boots, nicer in person"
Product and Quality Assurance,positive,"love, happy","great fit and fabric, need tailoring"
Product and Quality Assurance,negative,"love, beautiful, uncut, unfinished, going back","hem was uncut and unfinished, going back"
"Sales, Product and Quality Assurance",positive,"fantastic, love, comfy, amazing, well worth","high-quality suits with a retro feel, great support, comfortable and worth the price."
Product and Quality Assurance,negative,"indecisive, disappointed, uncomfortable, alternative, slender","tight pants, beautiful color, uncomfortable fit, alternative to denim"
Product and Quality Assurance,positive,"rare, great, well, fit, spring, summer",well-fitting shorts for spring and summer.
Sales,negative,"liked, disappointed, concerned, loved, thought",high sale price for shirt
"Marketing, Product and Quality Assurance",positive,"cute, nice, picky, great, luckily, excited","cute jacket, soft material, great cut, no need to iron, sending another jacket back"
"Marketing, Product and Quality Assurance",positive,"love, lovely, eye-catching, cool, fitted","green dress is lovely and eye-catching, size 6 top is more fitted"
"Inventory Management, Product and Quality Assurance",negative,"frustration, disappointment, dissatisfaction, annoyance, resignation","store lacks petite sizes, dress fits large, sleeves true to size"
Marketing,positive,"beautiful, vibrant, love, lightweight, perfect","vibrant colors, lightweight blouse, perfect for holiday gatherings"
"Marketing, Sales",positive,"recommend, compliments, wore, tank top","highly recommend top, received compliments, wear with tank top"
Product and Quality Assurance,negative,"disappointment, dissatisfaction, frustration, regret, annoyance",material quality and price dissatisfaction
"Marketing, Product and Quality Assurance",positive,"compliments, great fit, comfortable, love, flattering","christmas parties, compliments, great fit, comfortable, love, pockets"
Product and Quality Assurance,positive,"impressed, satisfied, disappointed, frustrated, hopeful","fabric is incredible, requires tailoring, wish it was offered in petite"
Product and Quality Assurance,negative,"disappointed, bothered","blouse with beautiful purple flowers, but disappointing bottom fabric."
"Product and Quality Assurance, Inventory Management",negative,"like, wrong, plus, issues, snug","waist runs small, hem came out, need to hem them"
Product and Quality Assurance,positive,"comfy, awesome",super comfy shorts with awesome color
"Marketing, Product and Quality Assurance",positive,"like, easy, flattering, happy, recommend","flattering blouse, great blue color, highly recommend"
Product and Quality Assurance,positive,"happy, satisfied, impressed, content, pleased","impeccably constructed dress, form-fitting, flawless fit, happy with it"
